Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Transit Temperature [K],Eclipse Temperature [K],Planet Semi-major Axis [AU],Planet Semi-major Axis [m],Planet-Star Separation Transit [m],Planet-Star Separation Eclipse [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier,Tmag_TIC,Distance_pc_TIC,RA_TIC,Dec_TIC,dr2_source_id,dr3_source_id,phot_g_mean_mag,angular_distance
Kepler-1656,1.03,-0.04,0.04,5569.0,-50.0,50.0,1.1,-0.13,0.13,185.875,-0.827,0.835,4.4,-0.07,0.07,Gaia DR2 2103392720630278656,9.715,10.04599953,9.640000343,11.64000034,11.0622,9.593,9.64,9.609,8.962,0,0.19,-0.04,0.04,[Fe/H],6.31,-2.9,2.1,,284.4722473,39.911889,Kepler-1656 b,5.021623367,0.526822094,-0.526822094,0.448,0.047,-0.047,47.67426099,6.356568132,-6.356568132,0.15,0.02,-0.02,0,1,17.1,31.562,-0.011,0.011,652.7612904,1544.955437,689.8982941,0.197535674,29531583297.0,5273312100.0,26445102078.0,0.1,2.3,7645.931989,0.083,1,89.31,-0.51,0.47,0.838,-0.029,0.045,0,52.8,-5.4,4.2,5011.47,0.9,-0.9,0,5027.251,38343.53972,1,0.21254,0.0008,-0.0008,1,2018,0,0,0,10,228,119,1165,239,2256,Transit,10,119,239,1,10.6114,185.875,284.472186339671,39.9118135356544,2103392720630278656,2103392720630278656,11.061604,0.17827193
Kepler-1658,1.45,-0.06,0.06,6216.0,-78.0,78.0,2.89,-0.11,0.13,788.238,-16.707,17.434,3.67,-0.03,0.03,Gaia DR2 2052194374009877376,10.266,10.47500038,10.19499969,11.61999989,11.42,10.131,10.162,10.069,9.025,0,-0.18,-0.1,0.1,[m/H],2.01,-0.35,0.35,,294.3565559,38.9473424,Kepler-1658 b,11.99360938,0.560449037,-0.560449037,1.07,0.05,-0.05,1868.831031,149.3793511,-146.201067,5.88,0.47,-0.46,0,1,580.83,3.84937278,-8e-07,8e-07,2112.472319,2107.982667,2125.864463,0.054446851,8139804256.0,8176770672.0,8039790727.0,0.3,2.3,11447.99217,0.9471,1,76.52,-0.59,0.58,0.0628,-0.0185,0.0197,0,-7.73,-3.37,1.93,5005.9241,0.000169,-0.000167,0,5007.848786,11447.99217,1,0.13173,0.00073,-0.00073,1,2019,0,0,0,2971,6,41322,49,81906,98,Eclipse,6,49,98,1,11.0418,788.238,294.356556248899,38.9473655079742,2052194374009877376,2052194374009877376,11.416559,0.2053899
Kepler-18,0.97,-0.04,0.04,5345.0,-100.0,100.0,1.11,-0.05,0.05,433.047,-3.158,3.204,4.31,-0.12,0.12,Gaia DR2 2079295583282164992,11.873,12.18999958,11.75599957,13.771,13.5393,11.699,11.787,12.524,9.358,0,0.19,-0.06,0.06,[Fe/H],10.0,-2.3,2.3,,298.0794448,44.746248,Kepler-18 c,5.492400558,0.257806557,-0.257806557,0.49,0.023,-0.023,18.43404758,2.542627253,-1.90697044,0.058,0.008,-0.006,0,1,0.0,7.64159,-3e-05,3e-05,957.8005663,957.8005663,957.8005663,0.07521478,11244609541.0,11244609541.0,11244609541.0,0.3,2.3,12442.48472,0.593,1,87.68,-0.22,0.22,0.0,,,0,,,,5167.0883,0.0023,-0.0023,0,5170.909095,12442.48472,1,0.22866,0.00086,-0.00086,1,2011,1,0,1,8,284,115,2226,230,4559,Transit,8,115,230,1,12.9879,433.047,298.079453437424,44.7463354239243,2079295583282164992,2079295583282164992,13.526981,0.02254251
Kepler-18,0.97,-0.04,0.04,5345.0,-100.0,100.0,1.11,-0.05,0.05,433.047,-3.158,3.204,4.31,-0.12,0.12,Gaia DR2 2079295583282164992,11.873,12.18999958,11.75599957,13.771,13.5393,11.699,11.787,12.524,9.358,0,0.19,-0.06,0.06,[Fe/H],10.0,-2.3,2.3,,298.0794448,44.746248,Kepler-18 d,6.983194995,0.325060441,-0.325060441,0.623,0.029,-0.029,14.8997957,1.798908781,-4.198513251,0.04688,0.00566,-0.01321,0,1,0.0,14.85888,-4e-05,4e-05,767.374992,767.374992,767.374992,0.117175842,17517788347.0,17517788347.0,17517788347.0,0.3,2.3,13129.09807,0.767,1,88.07,-0.1,0.1,0.0,,,0,,,,5169.1776,0.0013,-0.0013,0,5176.60704,13129.09807,1,0.3265,0.0012,-0.0012,1,2011,1,0,1,2,452,27,3717,53,7335,Transit,2,27,53,1,12.9879,433.047,298.079453437424,44.7463354239243,2079295583282164992,2079295583282164992,13.526981,0.02254251
Kepler-25,1.17,-0.03,0.03,6354.0,-27.0,27.0,1.32,-0.02,0.02,243.249,-1.397,1.414,4.29,0.0,0.0,Gaia DR2 2100451630105041152,9.532,9.763999939,9.493000031,10.77000046,10.6319,9.468,9.498,9.456,8.449,0,0.11,-0.03,0.03,[Fe/H],2.75,-0.3,0.3,,286.6383905,39.4879038,Kepler-25 c,5.21217604,0.067253884,-0.067253884,0.465,0.006,-0.006,15.22398068,1.303096467,-1.620924874,0.0479,0.0041,-0.0051,0,1,0.0,12.7207,-0.0001,0.00011,1015.442383,1015.442383,1015.442383,0.11245862,16812563620.0,16812563620.0,16812563620.0,0.3,2.3,10468.12481,0.88,1,92.764,-0.039,0.042,0.0061,-0.0041,0.0049,0,,,,5711.15013,0.00014,-0.00014,0,5717.51048,10468.12481,1,0.107,0.00026,-0.00026,1,2011,0,0,0,3,111,35,838,70,1678,Transit,3,35,70,1,10.2768,243.249,286.638393051541,39.4878772137557,2100451630105041152,2100451630105041152,10.6334715,0.18453391
Kepler-396,0.85,-0.06,0.13,5565.0,-62.0,62.0,1.06,-0.2,0.39,223.757,-1.783,1.812,4.32,-0.23,0.18,Gaia DR2 2134847343119885440,10.356,10.67199993,10.28499985,12.26000023,11.8286,10.241,10.276,10.26,9.409,0,0.156,-0.014,0.014,[M/H],4.37,-2.42,3.08,,296.1328135,48.9773095,Kepler-396 c,5.301847886,1.950362647,-0.986390304,0.473,0.174,-0.088,17.79839077,2.860455659,-1.271313626,0.056,0.009,-0.004,0,0,0.0,88.505,,,468.8503227,468.8503227,468.8503227,0.368446951,55082819137.0,55082819137.0,55082819137.0,0.1,2.3,21734.20126,0.8056,1,89.86,,,0.0,,,0,,,,5015.65259,0.00078,-0.00078,0,5059.90509,21734.20126,1,0.26364,0.00107,-0.00107,1,2013,0,0,0,6,12425,64,96094,127,159269,Transit,6,64,127,1,11.3523,223.757,296.132797416553,48.9773781139136,2134847343119885440,2134847343121798528,11.820694,0.25290197
Kepler-411,0.87,-0.04,0.04,4906.0,-51.12,48.14,0.82,-0.02,0.02,153.676,-0.453,0.455,4.6,-0.01,0.01,Gaia DR2 2132768952604988672,10.161,10.64099979,10.06000042,12.55000019,12.2327,9.92,9.952,9.88,9.269,0,0.11,-0.1,0.1,[M/H],0.212,-0.031,0.031,K2 V,287.6057027,49.5233937,Kepler-411 c,4.416338408,0.067253884,-0.067253884,0.394,0.006,-0.006,26.39882745,5.898895226,-5.898895226,0.08306,0.01856,-0.01856,0,0,0.0,7.834435,-2e-06,2e-06,763.0759941,807.0531545,726.1572044,0.07375107,11025784972.0,9859631771.0,12178776861.0,0.3,2.3,8494.928911,0.62,1,88.61,-0.04,0.04,0.108,-0.004,0.003,0,103.0,-1.7,1.6,4968.2224,0.0002,-0.0002,0,4972.139617,10493.07378,1,0.20181,0.00086,-0.00086,1,2016,0,0,0,9,225,117,1561,235,3125,Transit,9,117,235,1,11.6052,153.676,287.605613057531,49.5232533144067,2132768952604988672,2132768956905956352,12.226437,0.25454506
Kepler-435,1.54,-0.09,0.09,6161.0,-94.0,94.0,3.21,-0.3,0.3,1418.77,-35.37,35.37,3.61,-0.07,0.05,Gaia DR2 2125913531966017408,12.345,12.59300041,12.29100037,13.90999985,13.604,12.266,12.309,12.416,9.423,0,-0.18,-0.11,0.11,[Fe/H],2.25,-0.42,0.42,,292.2873012,43.1972542,Kepler-435 b,22.30587165,2.017616532,-2.017616532,1.99,0.18,-0.18,270.1541456,41.31769286,-41.31769286,0.85,0.13,-0.13,0,1,64.2,8.6001536,-1.8e-06,1.8e-06,1671.105849,1772.907003,1586.534989,0.09493678,14193048670.0,12613382716.0,15750856530.0,0.3,2.3,32341.9346,0.448,1,85.51,-0.52,0.52,0.114,-0.077,0.077,0,104.0,-36.0,36.0,5010.64241,0.0004,-0.0004,0,5014.942487,40386.72125,1,0.45102,0.00048,-0.00048,1,2015,1,0,1,4,3,48,20,95,40,Eclipse,3,20,40,2,13.1981,1418.77,292.287287812741,43.1972667420777,2125913531966017408,2125913531966017408,13.591482,0.049968466
Kepler-444,0.76,-0.04,0.04,5046.0,-74.0,74.0,0.75,-0.01,0.01,36.4396,-0.0394,0.0395,4.56,-0.01,0.01,Gaia DR2 2101486923385239808,6.772,7.243999958,6.703000069,8.859999657,8.643251,6.624,6.615,6.629,6.56,0,-0.55,-0.07,0.07,[Fe/H],11.23,-0.99,0.91,K,289.7528323,41.631884,Kepler-444 b,0.403523306,0.011208981,-0.011208981,0.036,0.001,-0.001,0.051631659,0.0,0.0,0.000162451,0.0,0.0,1,0,0.0,3.6001053,-8e-06,8.3e-06,994.8546518,994.8546518,994.8546518,0.041982805,6276429376.0,6276429376.0,6276429376.0,0.3,2.3,7600.149989,0.4,1,88.0,-0.6,1.2,0.16,-0.1,0.21,0,,,,4966.2599,0.0018,-0.0018,0,4968.059953,7600.149989,1,0.00275,0.0001,-0.0001,1,2015,0,0,0,6,45592,30,182527,57,357463,Transit,6,30,57,1,8.1115,36.4396,289.752286826697,41.6346060051671,2101486923385239808,2101486923385239808,8.654593,0.21045963
Kepler-444,0.76,-0.04,0.04,5046.0,-74.0,74.0,0.75,-0.01,0.01,36.4396,-0.0394,0.0395,4.56,-0.01,0.01,Gaia DR2 2101486923385239808,6.772,7.243999958,6.703000069,8.859999657,8.643251,6.624,6.615,6.629,6.56,0,-0.55,-0.07,0.07,[Fe/H],11.23,-0.99,0.91,K,289.7528323,41.631884,Kepler-444 e,0.549240056,0.022417961,-0.011208981,0.049,0.002,-0.001,0.098526806,0.200231896,-0.098526806,0.00031,0.00063,-0.00031,0,0,0.0,7.743493,-1.6e-05,1.7e-05,770.7006635,770.7006635,770.7006635,0.06995508,10458284470.0,10458284470.0,10458284470.0,0.3,2.3,10247.93241,0.29,1,89.13,-0.52,0.54,0.1,-0.07,0.2,0,,,,4968.0927,0.0018,-0.0018,0,4971.964446,10247.93241,1,0.00513,0.00012,-0.00012,1,2015,0,0,0,5,62615,22,221577,42,379822,Transit,5,22,42,1,8.1115,36.4396,289.752286826697,41.6346060051671,2101486923385239808,2101486923385239808,8.654593,0.21045963
