Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Transit Temperature [K],Eclipse Temperature [K],Planet Semi-major Axis [AU],Planet Semi-major Axis [m],Planet-Star Separation Transit [m],Planet-Star Separation Eclipse [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier,Tmag_TIC,Distance_pc_TIC,RA_TIC,Dec_TIC,dr2_source_id,dr3_source_id,phot_g_mean_mag,angular_distance
55 Cnc,0.91,-0.02,0.02,5172.0,-18.0,18.0,0.94,-0.01,0.01,12.5855,-0.0123,0.0124,4.43,-0.02,0.02,Gaia DR2 704967037090946688,4.265,4.590000153,4.014999866,5.95084,5.72973,4.001,3.296,4.051,4.014,0,0.35,-0.1,0.1,[Fe/H],10.2,-2.5,2.5,G8 V,133.1468373,28.3298154,55 Cnc e,1.871899782,0.033626942,-0.033626942,0.167,0.003,-0.003,7.739121701,0.368680952,-0.298758702,0.02435,0.00116,-0.00094,0,1,6.0,0.7365474,-1.4e-06,1.3e-06,1880.057222,1929.052343,1835.118837,0.015478815,2314082889.0,2198633781.0,2429475556.0,0.3,2.3,5218.029556,0.39,1,83.59,-0.44,0.47,0.05,-0.03,0.03,0,86.0,-33.4,30.7,7063.2096,0.0006,-0.0004,0,7063.577874,5765.8876,1,0.0375,0.000494,-0.000494,1,2004,0,0,0,6,9,15,17,24,28,Transit,6,15,24,2,5.2058,12.5855,133.149213869445,28.3308213614678,704967037090946688,704967037090946688,5.732681,0.17493042
AU Mic,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.43599987,4.528999805,8.626999855,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic c,3.239395431,0.15692573,-0.15692573,0.289,0.014,-0.014,22.2003142,6.699822811,-6.699822811,0.06985,0.02108,-0.02108,0,1,8.5,18.858991,,,479.5932681,484.5103784,475.5742834,0.110135102,16465197715.0,16137149109.0,16749284373.0,0.1,2.3,16051.12795,0.3,1,89.39,-0.38,0.4,0.041,-0.026,0.047,0,153.0,-94.0,124.0,8342.2243,,,0,8351.653795,16660.00015,1,,,,2,2021,0,0,0,11,1087,18,1135,25,2017,Transit,11,18,25,2,6.755,9.7221,311.289718192023,-31.3409004606736,6794047652729201024,6794047652729201024,7.8434396,0.16348411
AU Mic,0.5,-0.03,0.03,3588.0,-87.0,87.0,0.7,-0.02,0.02,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.43599987,4.528999805,8.626999855,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic b,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,11.69926365,4.999440836,-4.999440836,0.03681,0.01573,-0.01573,0,1,5.8,8.4629991,,,586.8677302,650.5440748,538.9819182,0.064554965,9650967306.0,7856293983.0,11445184191.0,0.1,2.3,10103.14785,0.18,1,89.5,-0.3,0.3,0.186,-0.035,0.036,0,88.528,-0.218,0.218,8330.39046,,,0,8334.62196,14718.43954,1,0.287229,0.021705,-0.021705,2,2020,0,0,0,1,89,1,98,2,172,Transit,1,1,2,3,6.755,9.7221,311.289718192023,-31.3409004606736,6794047652729201024,6794047652729201024,7.8434396,0.16348411
CoRoT-11,1.27,-0.05,0.05,6440.0,-120.0,120.0,1.37,-0.03,0.03,655.037,-23.209,24.947,4.22,-0.23,0.23,Gaia DR2 4285511294172309504,11.416,11.58899975,11.24800014,12.93900013,12.841,11.173,11.265,11.47,9.198,0,-0.03,-0.08,0.08,[Fe/H],2.0,-1.0,1.0,F6 V,280.6872998,5.9376586,CoRoT-11 b,16.02884245,0.336269422,-0.336269422,1.43,0.03,-0.03,832.7104253,187.5187599,-197.0536121,2.62,0.59,-0.62,0,1,334.0,2.99433,-1.1e-05,1.1e-05,1675.07684,1675.07684,1675.07684,0.04406135,6587171861.0,6587171861.0,6587171861.0,0.3,2.3,8973.287257,0.818,1,83.17,-0.15,0.15,0.0,,,0,,,,4597.679,0.0003,-0.0003,0,4599.176165,8973.287257,1,1.1449,0.010725,-0.010675,1,2010,1,0,1,34,2,503,12,1000,23,Eclipse,2,12,23,2,12.419,655.037,280.687291461833,5.93768115658147,4285511294172309504,4285511294172309504,12.83414,0.27594355
CoRoT-2,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.78299999,10.31000042,12.56799984,12.2489,10.064,10.098,10.189,9.035,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,CoRoT-2 b,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0.0,1.7429935,-1e-06,1e-06,1496.310943,1507.101495,1486.166288,0.027981933,4183298959.0,4124748552.0,4241775395.0,0.3,2.3,8232.826537,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102.0,-5.0,17.0,4237.53556,0.0002,-0.00021,0,4238.407057,8466.407248,1,2.75,0.012,-0.012,1,2008,0,0,0,4,1,43,1,86,1,Eclipse,1,1,1,3,11.6659,213.283,291.777060342228,1.38371044366073,4287820848378092672,4287820848378092672,12.236511,0.27771735
CoRoT-19,1.21,-0.05,0.05,6090.0,-70.0,70.0,1.65,-0.04,0.04,790.663,-25.071,26.737,4.07,-0.03,0.03,Gaia DR2 3120002649138831360,11.961,12.32400036,11.83699989,14.00699997,13.7831,11.763,11.787,12.08,9.147,0,-0.02,-0.1,0.1,[Fe/H],5.0,-1.0,1.0,F9 V,97.0335983,-0.1707293,CoRoT-19 b,14.45958514,0.336269422,-0.336269422,1.29,0.03,-0.03,367.0918096,22.88364527,-22.88364527,1.155,0.072,-0.072,0,1,131.5,3.89713,-2e-05,2e-05,1605.101482,1605.101482,1605.101482,0.051683094,7726622576.0,7726622576.0,7726622576.0,0.3,2.3,16852.01045,0.24,1,88.0,-0.7,0.7,0.047,-0.045,0.045,0,,,,5257.44102,0.0006,-0.0006,0,5259.389585,16852.01045,1,0.631275,0.027997,-0.027997,1,2011,1,0,1,17,4,240,23,476,45,Eclipse,4,23,45,1,13.1861,790.663,97.0335776182332,-0.170703431834775,3120002649138831360,3120002649138831360,13.771415,0.081995904
CoRoT-3,1.37,-0.09,0.09,6740.0,-140.0,140.0,1.56,-0.09,0.09,768.771,-28.545,30.791,4.22,-0.07,0.07,Gaia DR2 4263427117767106816,11.71,11.93999958,11.61999989,13.29199982,13.2188,11.343,11.394,11.323,8.979,0,0.14,-0.04,0.04,[Fe/H],2.2,-0.6,0.6,F3 V,292.0552827,0.1218359,CoRoT-3 b,11.32107054,0.784628651,-0.784628651,1.01,0.07,-0.07,6814.241037,305.1152703,-308.2935544,21.44,0.96,-0.97,0,1,2173.0,4.2568,-5e-06,5e-06,1642.845703,1642.845703,1642.845703,0.057132839,8541359462.0,8541359462.0,8541359462.0,0.3,2.3,13658.60083,0.55,1,85.9,-0.8,0.8,0.0,,,0,,,,4283.1383,0.0003,-0.0003,0,4285.2667,13658.60083,1,0.4398,0.0084,-0.0091,1,2008,1,0,1,21815,9,319855,62,635420,124,Eclipse,9,62,124,1,12.7127,768.771,292.055267701168,0.121837306179597,4263427117767106816,4263427117767106816,13.208983,0.038419366
CoRoT-36,1.32,-0.09,0.09,6730.0,-140.0,140.0,1.52,-0.1,0.2,925.958,-26.247,27.796,4.16,-0.06,0.06,Gaia DR2 4477340334766250496,11.641,11.85900021,11.59200001,13.14000034,12.9515,11.512,11.539,11.234,8.872,0,-0.1,-0.1,0.1,[Fe/H],2.1,-0.5,0.6,F3 V,277.7510149,7.1833465,CoRoT-36 b,15.80466283,1.569257302,-1.569257302,1.41,0.14,-0.14,216.1233165,149.3793511,-136.6662148,0.68,0.47,-0.43,0,1,65.0,5.616531,-2.3e-05,2.3e-05,1485.505417,1485.505417,1485.505417,0.067882871,10148489275.0,10148489275.0,10148489275.0,0.3,2.3,15088.62207,0.573,1,85.83,-0.26,0.26,0.0,,,0,,,,5662.52236,0.00034,-0.00034,0,5665.330625,15088.62207,1,1.01,0.011,-0.011,1,2022,1,0,1,6,6,75,39,148,77,Eclipse,6,39,77,1,12.5161,925.958,277.751010660779,7.18336361705537,4477340334766250496,4477340334766250496,12.940691,0.06353121
DS Tuc A,1.01,-0.06,0.06,5428.0,-80.0,80.0,0.96,-0.03,0.03,44.0622,-0.0691,0.0693,4.6,-0.15,0.15,Gaia DR2 6387058411482257536,6.759,7.122000217,6.679999828,8.225999832,8.31926,6.767,6.65,6.728,6.589,0,0.0,,,,0.045,-0.004,0.004,G6 V,354.9154673,-69.196043,DS Tuc A b,5.705371192,0.168134711,-0.168134711,0.509,0.015,-0.015,27.79890392,0.0,0.0,0.087465133,0.0,0.0,1,0,0.0,8.138268,-1.1e-05,1.1e-05,879.83315,879.83315,879.83315,0.079503315,11885745570.0,11885745570.0,11885745570.0,0.3,2.3,13075.11774,0.18,1,89.5,-0.41,0.34,0.0,,,0,,,,8332.30997,0.00026,-0.00026,0,8336.379104,13075.11774,1,0.2936,0.0026,-0.0026,2,2019,0,0,0,1,7,3,18,4,32,Transit,1,3,4,2,7.8541,44.0622,354.914504004534,-69.195752595235,6387058411482257536,6387058411482257536,8.341437,0.23405552
EPIC 211945201,1.17,-0.04,0.04,6069.0,-90.0,90.0,1.39,-0.02,0.02,181.69,-1.277,1.295,4.22,-0.02,0.02,Gaia DR2 636363799347569408,8.908,9.144000053,8.836999893,10.14999962,10.0512,8.822,8.844,8.81,8.623,0,0.1,-0.05,0.05,[Fe/H],3.99,-0.7,0.85,G0,136.5741931,19.4020565,EPIC 211945201 b,5.761416096,0.30264248,-0.30264248,0.514,0.027,-0.027,26.99952314,14.00034131,-12.59871804,0.08495,0.04405,-0.03964,0,1,5.7,19.49221,-0.000653,0.000666,863.3010925,863.3010925,863.3010925,0.149471868,22346044270.0,22346044270.0,22346044270.0,0.3,2.3,19988.2842,0.58,1,87.9,-0.06,0.06,0.0,,,0,90.0,,,7158.82477,0.00086,-0.00085,0,7168.570875,19988.2842,1,0.17,1.1e-05,-1.1e-05,1,2018,0,0,0,4,79,30,404,58,837,Transit,4,30,58,1,9.66896,181.69,136.573985459816,19.4022364477753,636363799347569408,636363799347569408,10.056372,0.20749561
EPIC 246851721,1.32,-0.04,0.04,6202.0,-50.0,52.0,1.59,-0.03,0.03,372.632,-17.644,19.456,4.16,-0.02,0.02,Gaia DR2 3393939026234131584,9.967,10.19900036,9.892999649,11.23999977,11.2549,9.813,9.816,9.754,8.609,0,0.141,-0.085,0.082,[Fe/H],3.02,-0.46,0.44,F5 V,78.9198197,16.2786991,EPIC 246851721 b,11.78063875,0.493195152,-0.493195152,1.051,0.044,-0.044,953.4852198,349.6112473,-381.3940879,3.0,1.1,-1.2,0,1,270.0,6.180235,-1.4e-05,1.4e-05,1356.194867,1356.194867,1356.194867,0.072352147,10816645993.0,10816645993.0,10816645993.0,0.3,2.3,14819.12765,0.647,1,86.21,-0.17,0.17,0.0,,,0,,,,7865.11032,0.0001,-0.0001,0,7868.200437,14819.12765,1,0.464,0.035,-0.035,1,2018,0,0,0,115,3,1478,19,2925,35,Eclipse,3,19,35,2,10.8243,372.632,78.9198074987541,16.2787550298642,3393939026234131584,3393939030531019520,11.254608,0.15371034
G 9-40,0.29,-0.02,0.02,3348.0,-32.0,32.0,0.31,-0.01,0.01,27.9276,-0.045,0.0451,4.93,-0.03,0.03,Gaia DR2 684992690384102528,9.433,10.05799961,9.18999958,13.8210001,12.7331,9.032,8.885,8.774,8.597,0,0.04,-0.11,0.1,[Fe/H],9.9,-4.1,2.6,M2.5 V,134.7188514,21.0747961,G 9-40 b,2.028825512,0.100880827,-0.100880827,0.181,0.009,-0.009,4.793527451,0.0,0.0,0.015082124,0.0,0.0,1,0,0.0,5.746007,-6e-06,6e-06,454.0319909,454.0319909,454.0319909,0.04158789,6217389560.0,6217389560.0,6217389560.0,0.1,2.3,4495.618047,0.672,1,88.57,-0.47,0.63,0.0,,,0,0.0,,,8497.77747,0.00032,-0.00033,0,8500.650474,4495.618047,1,0.365,0.032,-0.033,1,2019,1,0,1,2,2046,25,12715,49,29673,Transit,2,25,49,1,11.5219,27.9276,134.718041565878,21.0761672346033,684992690384102528,684992690384102528,12.715983,0.23838075
GJ 1132,0.18,-0.02,0.02,3270.0,-140.0,140.0,0.21,-0.01,0.01,12.613,-0.007,0.007,4.88,-0.07,0.07,Gaia DR2 5413438219396893568,8.666,9.244999886,8.32199955,13.68,12.138,8.17,8.0,7.862,7.916,0,-0.12,-0.15,0.15,[Fe/H],5.0,,,M4.5 V,153.7090696,-47.1549358,GJ 1132 b,1.132107054,0.056044904,-0.056044904,0.101,0.005,-0.005,1.659064282,0.228836453,-0.228836453,0.00522,0.00072,-0.00072,0,1,2.85,1.628931,-2.7e-05,2.7e-05,601.5701719,601.5701719,601.5701719,0.015309091,2288709157.0,2288709157.0,2288709157.0,0.1,2.3,2804.181914,0.38,1,86.58,-0.63,0.63,0.0,,,1,,,,7184.55759,0.0003,-0.0003,0,7185.372055,2804.181914,1,0.251212,0.009733,-0.009733,1,2015,0,0,0,1,207,9,1458,17,2554,Transit,1,9,17,2,10.8372,12.613,153.715743119623,-47.1567193690054,5413438219396893568,5413438219396893568,12.129068,0.19024959
GJ 3090,0.52,-0.01,0.01,3556.0,-70.0,70.0,0.52,-0.02,0.02,22.4751,-0.02605,0.02605,4.73,-0.03,0.03,Gaia DR2 4933912198893332224,7.536,8.168000221,7.294000149,11.40299988,10.5521,7.053,7.113,7.045,6.941,0,-0.06,-0.12,0.12,[Fe/H],,,,M2 V,20.4384281,-46.7147234,GJ 3090 b,2.129706339,0.112089807,-0.112089807,0.19,0.01,-0.01,3.340376553,0.721470483,-0.721470483,0.01051,0.00227,-0.00227,0,1,2.38,2.853136,-3.8e-05,6.4e-05,715.5894296,715.5894296,715.5894296,0.031681535,4736389505.0,4736389505.0,4736389505.0,0.1,2.3,4945.592626,0.631,1,87.14,-0.3,0.79,0.0,,,1,137.0,-57.0,73.0,8370.41849,0.00034,-0.00034,0,8371.845058,4945.592626,1,0.158724,0.005527,-0.005527,2,2022,0,0,0,1,76,6,384,10,682,Transit,1,6,10,2,9.49275,22.4751,20.439126387292,-46.7143796925629,4933912198893332224,4933912198895807104,10.556652,0.13375121
GJ 1214,0.18,-0.01,0.01,3250.0,-100.0,100.0,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.781999588,15.1,13.0089,8.598,8.442,8.254,8.084,0,0.29,-0.12,0.12,[Fe/H],3.0,,,M4 V,258.8313991,4.9606795,GJ 1214 b,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,-1.3e-07,1.3e-07,603.9487151,603.9487151,603.9487151,0.015003518,2243025902.0,2243025902.0,2243025902.0,0.1,2.3,3037.212738,0.325,1,88.7,-0.1,0.1,0.0,,,1,0.0,,,5701.413328,6.6e-05,-5.9e-05,0,5702.20353,3037.212738,1,,,,1,2009,1,0,1,1,7,2,48,3,84,Transit,1,2,3,3,11.581,14.6427,258.828890529254,4.96390686106166,4393265392167891712,4393265392168829056,12.996782,0.06870482
GJ 1252,0.38,-0.02,0.02,3458.0,-133.0,140.0,0.39,-0.02,0.02,20.373,-0.0192,0.0192,4.89,-0.1,0.1,Gaia DR2 6468968316900356736,8.161,8.69699955,7.914999962,12.68,11.2364,,,,,0,0.1,-0.1,0.1,[Fe/H],3.9,-0.4,0.4,M3,306.9286462,-56.4622865,GJ 1252 b,1.188151957,0.078462865,-0.078462865,0.106,0.007,-0.007,1.318987887,0.279688998,-0.279688998,0.00415,0.00088,-0.00088,0,1,2.0,0.5182331,-8.4e-06,8.4e-06,1052.949156,1052.949156,1052.949156,0.009152395,1368283041.0,1368283041.0,1368283041.0,0.3,2.3,2650.805675,0.44,1,85.0,-1.8,2.1,0.0,,,0,90.0,,,8668.09744,0.00091,-0.00091,0,8668.356557,2650.805675,1,0.079726,0.004729,-0.004729,2,2020,0,0,0,1,33,11,227,22,443,Transit,1,11,22,2,10.1165,20.373,306.925339164587,-56.4569879707794,6468968316900356736,6468968316900356736,11.235408,0.18696818
GJ 3470,0.54,-0.04,0.05,3600.0,-100.0,100.0,0.55,-0.02,0.02,29.4214,-0.0507,0.0508,4.7,-0.05,0.05,Gaia DR2 654687847820642560,8.206,8.793999672,7.988999844,12.332,11.3537,7.807,7.783,7.683,7.786,0,0.2,-0.1,0.1,[Fe/H],1.65,-1.35,1.35,M1.5,119.7735021,15.391209,GJ 3470 b,4.573264138,0.179343692,-0.179343692,0.408,0.016,-0.016,12.57964833,1.309453035,-1.280848479,0.03958,0.00412,-0.00403,0,1,8.21,3.3366496,-3.3e-06,3.9e-06,702.7322631,703.1080652,702.7535588,0.035611897,5323978594.0,5319757072.0,5325125565.0,0.1,2.3,6591.587602,0.4,1,89.13,-0.34,0.26,0.017,-0.012,0.016,0,1.7,-1.2,0.96,5983.70421,,,0,5985.372535,6598.239577,1,0.653,1.5e-05,-1.5e-05,1,2012,0,0,0,1,6,2,30,3,52,Transit,1,2,3,3,10.2479,29.4214,119.77433150777,15.3914555626097,654687847820642560,654687847820642560,11.360213,0.19879918
GJ 357,0.34,-0.01,0.01,3505.0,-51.0,51.0,0.34,-0.02,0.02,9.44181,-0.00511,0.00511,4.94,-0.07,0.07,Gaia DR2 5664814198431308288,6.74,7.340000153,6.474999905,10.90600014,9.88036,,,,,0,-0.12,-0.16,0.16,[Fe/H],,,,M2.5 V,144.0074644,-21.6650634,GJ 357 b,1.199360938,0.056044904,-0.056044904,0.107,0.005,-0.005,1.840226474,0.311471838,-0.311471838,0.00579,0.00098,-0.00098,0,1,1.52,3.9306,-2e-06,2e-06,550.1780408,550.1780408,550.1780408,0.034045182,5089754700.0,5089754700.0,5089754700.0,0.1,2.3,4953.754392,0.307,1,89.228,-0.483,0.483,0.0,,,0,,,,9272.6757,0.0004,-0.0004,0,9274.641,4953.754392,1,0.0955,0.0062,-0.0062,2,2019,0,0,0,2,766,8,2505,15,5219,Transit,2,8,15,2,8.74094,9.44181,144.006821883638,-21.6607995217986,5664814198431308288,5664814198431308288,9.891662,0.20471005
GJ 3473,0.36,-0.02,0.02,3347.0,-54.0,54.0,0.36,-0.01,0.01,27.3644,-0.0376,0.0376,4.81,-0.06,0.06,Gaia DR2 3094290054327367168,9.063,9.626999855,8.829000473,13.74,12.465,8.671,8.506,8.385,8.347,0,0.11,-0.19,0.19,[Fe/H],,,,M4,120.5936065,3.3371629,GJ 3473 b,1.266614823,0.044835923,-0.044835923,0.113,0.004,-0.004,1.859296179,0.298758702,-0.298758702,0.00585,0.00094,-0.00094,0,1,2.21,1.1980035,-1.9e-06,1.8e-06,747.2391322,747.2391322,747.2391322,0.015715553,2349475233.0,2349475233.0,2349475233.0,0.3,2.3,3436.44602,0.336,1,87.95,-0.45,0.47,0.0,,,0,,,,8492.20408,0.00043,-0.00042,0,8492.803082,3436.44602,1,0.097327,0.010812,-0.010812,2,2020,0,0,0,4,235,38,1578,76,3129,Transit,4,38,76,1,11.1972,27.3644,120.595345350137,3.33880340897097,3094290054327367168,3094290054327367168,12.454006,0.2507872
GJ 367,0.46,-0.01,0.01,3522.0,-70.0,70.0,0.46,-0.01,0.01,9.41263,-0.002835,0.002835,4.78,-0.03,0.03,Gaia DR2 5412250540681250560,6.045,6.631999969,5.78000021,9.979000092,9.15159,,,,,0,-0.01,-0.12,0.12,[Fe/H],,,,M1.0 V,146.121464,-45.7790165,GJ 367 b,0.694956805,0.022417961,-0.022417961,0.062,0.002,-0.002,0.632478529,0.050852545,-0.050852545,0.00199,0.00016,-0.00016,0,1,1.003,0.3219225,-2e-07,2e-07,1322.251115,1360.644593,1288.000264,0.007101394,1061658427.0,1002866603.0,1119181868.0,0.3,2.3,2149.56212,0.584,1,79.89,-0.85,0.87,0.06,-0.04,0.07,0,66.0,-108.0,41.0,8544.13635,0.0004,-0.0004,0,8544.297311,2398.874327,1,0.0212,0.0042,-0.0042,2,2021,0,0,0,3,64,18,294,34,562,Transit,3,18,34,2,8.03194,9.41263,146.124319407249,-45.7765071080434,5412250540681250560,5412250540681250560,9.158753,0.21197423
GJ 9827,0.61,-0.01,0.02,4305.0,-49.0,49.0,0.6,0.0,0.01,29.661,-0.0541,0.0543,4.66,-0.01,0.02,Gaia DR2 2643842302456085888,7.379,7.984000206,7.19299984,10.10000038,9.83773,6.99,7.155,7.114,6.957,0,-0.26,-0.09,0.09,[Fe/H],10.0,-5.0,3.0,K6 V,351.7717763,-1.2853435,GJ 9827 b,1.580466283,0.022417961,-0.033626942,0.141,0.002,-0.003,5.139285335,0.470386042,-0.470386042,0.01617,0.00148,-0.00148,0,1,4.31,1.2089819,-7.1e-06,7.1e-06,1132.947101,1132.947101,1132.947101,0.018850083,2818087395.0,2818087395.0,2818087395.0,0.3,2.3,4530.620914,0.4602,1,86.07,-0.34,0.41,0.0,,,1,,,,7738.82586,0.00026,-0.00026,0,7739.430351,4530.620914,1,0.0586,0.0019,-0.0023,1,2017,0,0,0,6,38,51,213,101,418,Transit,6,51,101,1,9.0684,29.661,351.770156878864,-1.286273781707,2643842302456085888,2643842302456085888,9.840704,0.15817364
GJ 436,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.900000095,6.072999954,10.61299992,9.57148,6.017,5.69,5.76,5.58,0,0.099,-0.078,0.078,[Fe/H],6.0,-5.0,4.0,M2.5 V,175.5505363,26.7030669,GJ 436 b,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,-5.7e-07,5.7e-07,708.0229527,707.2135014,722.6797444,0.029115052,4352700318.0,4363874257.0,4179088324.0,0.1,2.3,4310.999354,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351.0,-0.03,0.03,4510.80162,7e-05,-7e-05,0,4512.123562,4128.45238,1,0.6819,0.0028,-0.0028,1,2004,0,0,0,1,2,2,6,3,10,Transit,1,2,3,3,8.40346,9.75321,175.546222446621,26.7065716919965,4017860992519744384,4017860992519744384,9.582008,0.16943698
GJ 3929,0.31,-0.02,0.03,3384.0,-88.0,88.0,0.32,-0.01,0.01,15.8095,-0.0095,0.0096,4.89,-0.05,0.05,Gaia DR2 1372215976327300480,8.1,8.694000244,7.868999958,12.675,11.5109,,,,,0,-0.02,-0.12,0.12,[Fe/H],7.1,-4.9,4.1,M3.5 V,239.5775678,35.4081141,GJ 3929 b,1.087271131,0.044835923,-0.044835923,0.097,0.004,-0.004,1.75123452,0.438603201,-0.451316337,0.00551,0.00138,-0.00142,0,1,1.77,2.616235,-5e-06,5e-06,599.3695633,599.3695633,599.3695633,0.02516683,3762441118.0,3762441118.0,3762441118.0,0.1,2.3,4369.250412,0.11,1,88.442,-0.008,0.008,0.0,,,0,90.0,,,8956.3962,0.0005,-0.0005,0,8957.704317,4369.250412,1,0.11206,0.009002,-0.009002,2,2022,0,0,0,3,748,27,4585,52,7898,Transit,3,27,52,1,10.2705,15.8095,239.578324614201,35.4067440085437,1372215976327300480,1372215976327300480,11.506599,0.15868758
GJ 486,0.32,-0.02,0.02,3340.0,-54.0,54.0,0.33,-0.01,0.01,8.07426,-0.004095,0.004095,4.89,,,Gaia DR2 3735000631158990976,6.666,7.195000172,6.361999989,11.39500046,10.094,,,,,0,0.07,-0.16,0.16,[Fe/H],,,,M3.5 V,191.981531,9.7494181,GJ 486 b,1.300241765,0.067253884,-0.067253884,0.116,0.006,-0.006,2.819137966,0.111239942,-0.120774795,0.00887,0.00035,-0.00038,0,1,3.37,1.467119,-3e-05,3.1e-05,680.5276106,680.5276106,680.5276106,0.017296186,2585779771.0,2585779771.0,2585779771.0,0.3,2.3,3542.529311,0.314569323,1,88.4,-1.4,1.1,0.0,,,1,,,,8931.15935,0.00042,-0.00042,0,8931.892909,3542.529311,1,0.155063,0.004627,-0.004627,1,2021,0,0,0,2,64,8,272,15,465,Transit,2,8,15,2,8.8223,8.07426,191.985937204927,9.75139775525006,3735000631158990976,3735000631158990976,10.105141,0.20570791
Gaia-1,0.95,-0.07,0.07,5470.0,-110.0,110.0,0.95,-0.03,0.03,363.66,-3.008,3.058,4.44,-0.09,0.07,Gaia-1,11.368,11.71100044,11.26900005,13.19499969,12.9988,11.213,11.248,11.156,8.994,0,,,,,,,,,90.6436658,-0.5771099,Gaia-1 b,13.77583732,0.235388595,-0.235388595,1.229,0.021,-0.021,533.9517231,34.96112473,-34.96112473,1.68,0.11,-0.11,0,1,243.0,3.052524,-1.7e-05,1.7e-05,1235.562132,1235.562132,1235.562132,0.0405139,6056827984.0,6056827984.0,6056827984.0,0.3,2.3,8320.343167,0.682531432,1,85.73,-0.41,0.47,0.0,,,0,,,,8468.68524,0.00057,-0.00057,0,8470.211502,8320.343167,1,,,,1,2022,1,0,1,12,2,169,10,337,20,Eclipse,2,10,20,2,12.4821,363.66,90.643640295001,-0.576934728278964,3026325426682637824,3026325426682637824,12.993106,0.15048252
